COCNAME,COCNUM,OBJECTID,PPRN,YEAR,STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER
"San Jose, Santa Clara City & County CoC",CA-500,1,8074319,2016,06,069,00277299,0500000US06069,06069,San Benito,06,3596588882,4721397
"San Jose, Santa Clara City & County CoC",CA-500,1,8074319,2016,06,001,01675839,0500000US06001,06001,Alameda,06,1909616630,216916717
"San Jose, Santa Clara City & County CoC",CA-500,1,8074319,2016,06,087,00277308,0500000US06087,06087,Santa Cruz,06,1152967426,419570389
"San Jose, Santa Clara City & County CoC",CA-500,1,8074319,2016,06,099,00277314,0500000US06099,06099,Stanislaus,06,3874634688,46384540
"San Jose, Santa Clara City & County CoC",CA-500,1,8074319,2016,06,081,00277305,0500000US06081,06081,San Mateo,06,1161757245,757313941
"San Jose, Santa Clara City & County CoC",CA-500,1,8074319,2016,06,047,00277288,0500000US06047,06047,Merced,06,5012175320,112509475
"San Jose, Santa Clara City & County CoC",CA-500,1,8074319,2016,06,085,00277307,0500000US06085,06085,Santa Clara,06,3344209919,33276429
"Oakland, Berkeley/Alameda County CoC",CA-502,2,9495123,2016,06,013,01675903,0500000US06013,06013,Contra Costa,06,1857310903,225193562
"Oakland, Berkeley/Alameda County CoC",CA-502,2,9495123,2016,06,075,00277302,0500000US06075,06075,San Francisco,06,121485107,479107241
"Oakland, Berkeley/Alameda County CoC",CA-502,2,9495123,2016,06,001,01675839,0500000US06001,06001,Alameda,06,1909616630,216916717
"Oakland, Berkeley/Alameda County CoC",CA-502,2,9495123,2016,06,099,00277314,0500000US06099,06099,Stanislaus,06,3874634688,46384540
"Oakland, Berkeley/Alameda County CoC",CA-502,2,9495123,2016,06,085,00277307,0500000US06085,06085,Santa Clara,06,3344209919,33276429
"Oakland, Berkeley/Alameda County CoC",CA-502,2,9495123,2016,06,077,00277303,0500000US06077,06077,San Joaquin,06,3606190671,89046837
"Salinas/Monterey, San Benito Counties CoC",CA-506,3,1969320,2016,06,069,00277299,0500000US06069,06069,San Benito,06,3596588882,4721397
"Salinas/Monterey, San Benito Counties CoC",CA-506,3,1969320,2016,06,079,00277304,0500000US06079,06079,San Luis Obispo,06,8548552397,815578711
"Salinas/Monterey, San Benito Counties CoC",CA-506,3,1969320,2016,06,031,00277280,0500000US06031,06031,Kings,06,3598593366,5453080
"Salinas/Monterey, San Benito Counties CoC",CA-506,3,1969320,2016,06,053,00277291,0500000US06053,06053,Monterey,06,8496680819,1270736099
"Salinas/Monterey, San Benito Counties CoC",CA-506,3,1969320,2016,06,019,00277274,0500000US06019,06019,Fresno,06,15431410219,137339029
"Salinas/Monterey, San Benito Counties CoC",CA-506,3,1969320,2016,06,087,00277308,0500000US06087,06087,Santa Cruz,06,1152967426,419570389
"Salinas/Monterey, San Benito Counties CoC",CA-506,3,1969320,2016,06,047,00277288,0500000US06047,06047,Merced,06,5012175320,112509475
"Salinas/Monterey, San Benito Counties CoC",CA-506,3,1969320,2016,06,085,00277307,0500000US06085,06085,Santa Clara,06,3344209919,33276429
Watsonville/Santa Cruz City & County CoC,CA-508,4,749012,2016,06,069,00277299,0500000US06069,06069,San Benito,06,3596588882,4721397
Watsonville/Santa Cruz City & County CoC,CA-508,4,749012,2016,06,081,00277305,0500000US06081,06081,San Mateo,06,1161757245,757313941
Watsonville/Santa Cruz City & County CoC,CA-508,4,749012,2016,06,053,00277291,0500000US06053,06053,Monterey,06,8496680819,1270736099
Watsonville/Santa Cruz City & County CoC,CA-508,4,749012,2016,06,087,00277308,0500000US06087,06087,Santa Cruz,06,1152967426,419570389
Watsonville/Santa Cruz City & County CoC,CA-508,4,749012,2016,06,085,00277307,0500000US06085,06085,Santa Clara,06,3344209919,33276429
"Turlock, Modesto/Stanislaus County CoC",CA-510,5,3078958,2016,06,085,00277307,0500000US06085,06085,Santa Clara,06,3344209919,33276429
"Turlock, Modesto/Stanislaus County CoC",CA-510,5,3078958,2016,06,047,00277288,0500000US06047,06047,Merced,06,5012175320,112509475
